source,config_name,config,target_dataset,target_name,is_source,is_cross_mDark,gen_auc,gen_pr_auc,sig_eff_at_1pct,stability_kl,stability_js,clean_auc,robust_auc,robustness_score,config_mean_auc,config_min_auc,config_min_to_mean_ratio,config_gen_gap
mDark-1_rinv-0.3_alpha-high,best_avg_alpha-0.2,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,mDark-1_rinv-0.3_alpha-low,False,False,0.697014203998249,0.6576527192357204,0.09911717495987159,0.014172708633073378,0.003491702169311748,0.6969980001449585,0.6798737049102783,0.9754313567167786,0.6536777542718667,0.5802926628128445,0.887735063677108,0.15784321813100888
mDark-1_rinv-0.3_alpha-high,best_avg_alpha-0.2,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,mDark-1_rinv-0.3_alpha-peak,False,False,0.6363258585015673,0.5685993773070595,0.028821773598228326,0.03686539474092525,0.008513566979329874,0.6363135576248169,0.6336265206336975,0.9957771809842472,0.6536777542718667,0.5802926628128445,0.887735063677108,0.15784321813100888
mDark-1_rinv-0.3_alpha-high,best_avg_alpha-0.2,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.8_alpha-peak.h5,mDark-1_rinv-0.8_alpha-peak,False,False,0.7484771625994927,0.6751595178665991,0.0870787569816696,0.004796564502483476,0.0011847451472880761,0.7484577894210815,0.8052266240119934,1.0758477437115346,0.6536777542718667,0.5802926628128445,0.887735063677108,0.15784321813100888
mDark-1_rinv-0.3_alpha-high,best_avg_alpha-0.2,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-5_rinv-0.3_alpha-peak.h5,mDark-5_rinv-0.3_alpha-peak,False,True,0.5802926628128445,0.48005800002725596,0.005981220971029505,0.04026584881113017,0.0091235142843347,0.5802870392799377,0.5877540111541748,1.012867721263433,0.6536777542718667,0.5802926628128445,0.887735063677108,0.15784321813100888
mDark-1_rinv-0.3_alpha-high,best_min_alpha-5.0,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,mDark-1_rinv-0.2_alpha-peak,False,False,0.607537048159127,0.5408622000107988,0.025164325299652016,0.01946055603694239,0.004655194142753086,0.6074384450912476,0.6066450476646423,0.9986938636613854,0.6395860093675401,0.5876553827647275,0.9188058746717043,0.1506485676009104
mDark-1_rinv-0.3_alpha-high,best_min_alpha-5.0,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,mDark-1_rinv-0.3_alpha-high,True,False,0.7902345769684505,0.7549011984529578,0.09561692731177591,0.0,0.0,0.7901521921157837,0.7815093994140625,0.9890618632866429,0.6395860093675401,0.5876553827647275,0.9188058746717043,0.1506485676009104
mDark-1_rinv-0.3_alpha-high,best_min_alpha-5.0,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,mDark-1_rinv-0.3_alpha-low,False,False,0.6327825404932146,0.5697336409563708,0.05161972858602072,0.017756833764407103,0.00427350229978426,0.6327103972434998,0.6051456928253174,0.956433931640333,0.6395860093675401,0.5876553827647275,0.9188058746717043,0.1506485676009104
mDark-1_rinv-0.3_alpha-high,best_min_alpha-5.0,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,mDark-1_rinv-0.3_alpha-peak,False,False,0.6386550296883525,0.571262558877339,0.03158198799627692,0.01535610909003206,0.0037002393315612577,0.6387276649475098,0.6392115950584412,1.0007576470184225,0.6395860093675401,0.5876553827647275,0.9188058746717043,0.1506485676009104
mDark-1_rinv-0.3_alpha-high,best_min_alpha-5.0,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.8_alpha-peak.h5,mDark-1_rinv-0.8_alpha-peak,False,False,0.7313000457322787,0.6310070250869333,0.05446639427221951,0.004956539154883199,0.0012065261472317102,0.731282651424408,0.7359849214553833,1.0064301676264522,0.6395860093675401,0.5876553827647275,0.9188058746717043,0.1506485676009104
mDark-1_rinv-0.3_alpha-high,best_min_alpha-5.0,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-5_rinv-0.3_alpha-peak.h5,mDark-5_rinv-0.3_alpha-peak,False,True,0.5876553827647275,0.483431251470959,0.005680489190363217,0.018988986111586583,0.004376749422707007,0.5876035690307617,0.5999204516410828,1.020961211366768,0.6395860093675401,0.5876553827647275,0.9188058746717043,0.1506485676009104
