config_name,config,target_dataset,is_source,gen_auc,gen_pr_auc,sig_eff_at_1pct,stability_kl,stability_js,clean_auc,robust_auc,robustness_score
config_alpha-1.0_eps-0.5_iter-20,"{'alpha': 1.0, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,False,0.6355894439986733,0.5506748190757004,0.016240331225727767,0.0024320870939017877,0.0006069821303523876,0.63556307554245,0.6232718825340271,0.9806609391240478
config_alpha-1.0_eps-0.5_iter-20,"{'alpha': 1.0, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.8_alpha-peak.h5,False,0.6862362174657319,0.5433806404730145,0.01878022266371781,0.0021442085024440255,0.0005322272629553963,0.6862726211547852,0.7555283308029175,1.100915740353442
config_alpha-1.0_eps-0.5_iter-20,"{'alpha': 1.0, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-5_rinv-0.3_alpha-peak.h5,False,0.6588886869159398,0.5846419776901685,0.02288902997293414,0.00547740596781103,0.001375677754580403,0.6588460206985474,0.5930935144424438,0.9002004957298082
config_alpha-5.0_eps-0.1_iter-10,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,False,0.6118254719250762,0.5412354484709704,0.02252223224642351,0.030211675409596142,0.00683149544523858,0.6118632555007935,0.598497748374939,0.9781560552857269
config_alpha-5.0_eps-0.1_iter-10,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,True,0.7715171485324218,0.7463693602835856,0.10278592818899543,0.0,0.0,0.7714753150939941,0.7605491876602173,0.9858373596406702
config_alpha-5.0_eps-0.1_iter-10,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,False,0.5730638182790991,0.5369492326773415,0.049321465051802134,0.031920203425372176,0.007394617050232288,0.573043704032898,0.5764588117599487,1.0059595938372874
config_alpha-5.0_eps-0.1_iter-10,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,False,0.6363309586930705,0.5667750835916653,0.02689604262284559,0.02323191978622706,0.005402283525538336,0.6363306045532227,0.6245152354240417,0.9814320275582585
config_alpha-5.0_eps-0.1_iter-10,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.8_alpha-peak.h5,False,0.7225361402456547,0.6460516257468721,0.0662368332271245,0.0056104460313775055,0.001324915281200607,0.7224740386009216,0.7083296775817871,0.9804223262519921
config_alpha-5.0_eps-0.1_iter-10,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-5_rinv-0.3_alpha-peak.h5,False,0.6231149330036422,0.5159452285486301,0.009556587696728706,0.025084438499993283,0.0057485766021201385,0.6230986714363098,0.6158798336982727,0.9884146154229524
config_alpha-5.0_eps-0.1_iter-20,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,False,0.5678190870816686,0.4934551595716347,0.010213945096017528,0.015012940235552568,0.0037571035085259556,0.567764401435852,0.6022990345954895,1.060825640128724
config_alpha-5.0_eps-0.1_iter-20,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,True,0.712453185718463,0.6243065593238003,0.01911733567258538,0.0,0.0,0.7122989892959595,0.7913811802864075,1.1110238708447604
